560001, 1, 1
560002, 13, 1
560003, 1, 1
560004, 1, 1
560005, 1, 1
560006, 9, 1
560007, 1, 1
560008, 1, 1
560009, 1, 1
560010, 12, 1
560011, 1, 1
560012, 1, 1
560013, 8, 1
560014, 1, 1
560015, 10, 1
560016, 7, 1
560017, 1, 1
560018, 8, 1
560019, 1, 1
560020, 8, 1
560021, 1, 1
560022, 1, 1
560023, 6, 1
560024, 1, 1
560025, 1, 1
560026, 1, 1
560027, 2, 1
560028, 1, 1
560029, 1, 1
560030, 10, 1
560031, 1, 1
560032, 1, 1
560033, 1, 1
560034, 10, 1
560035, 1, 1
560036, 10, 1
560037, 1, 1
560038, 12, 1
560039, 1, 1
560040, 1, 1
560041, 1, 1
560042, 1, 1
560043, 14, 1
560044, 10, 1
560045, 10, 1
560046, 10, 1
560047, 10, 1
560048, 1, 1
560049, 1, 1
560050, 9, 1
560051, 1, 1
560052, 8, 1
560053, 1, 1
560054, 1, 1
560055, 1, 1
560056, 1, 1
560057, 8, 1
560058, 1, 1
560059, 12, 1
560060, 10, 1
560061, 1, 1
560062, 10, 1
560063, 14, 1
560064, 10, 1
560065, 10, 1
560066, 1, 1
560067, 1, 1
560068, 1, 1
560069, 1, 1
560070, 10, 1
560071, 1, 1
560072, 1, 1
560073, 1, 1
560074, 1, 1
560075, 8, 1
560076, 8, 1
560077, 8, 1
560078, 10, 1
560079, 1, 1
560080, 10, 1
560081, 1, 1
560082, 8, 1
560083, 1, 1
560084, 1, 1
560085, 1, 1
560086, 1, 1
560087, 1, 1
560088, 8, 1
560089, 10, 1
560090, 10, 1
560091, 12, 1
560092, 1, 1
560093, 1, 1
560094, 1, 1
560095, 1, 1
560096, 10, 1
560097, 7, 1
560098, 6, 1
560099, 8, 1
560100, 1, 1
560101, 8, 1
560102, 8, 1
560103, 11, 1
560104, 8, 1
560105, 10, 1
560106, 8, 1
560107, 1, 1
560108, 1, 1
560109, 3, 1
560110, 2, 1
560111, 14, 1
560112, 2, 1
560113, 12, 1
560114, 6, 1
560115, 7, 1
560116, 10, 1
560117, 1, 1
560118, 8, 1
560119, 1, 1
560120, 10, 1
560121, 1, 1
560122, 6, 1
560123, 7, 1
560124, 11, 1
560125, 1, 1
560126, 8, 1
560127, 1, 1
560128, 8, 1
560129, 1, 1
560130, 1, 1
560131, 10, 1
560132, 1, 1
